,event_id,event_fin_offset,event_time,fin_time,event_emo,actual_return,expected_return,abnormal_return,actual_volume,expected_volume,abnormal_volume
0,0,0,2023-05-02 18:02:00+00:00,2023-05-02 18:02:00+00:00,anger,0.0009650519417902,-1.557626565772474e-05,0.0009806282074479248,12.325223634001208,12.375984741619625,-0.0507611076184169
1,0,1,2023-05-02 18:02:00+00:00,2023-05-02 18:03:00+00:00,anger,-0.000247678019842,-1.557626565772474e-05,-0.00023210175418427524,11.818673363233636,12.375984741619625,-0.5573113783859895
2,0,2,2023-05-02 18:02:00+00:00,2023-05-02 18:04:00+00:00,anger,-0.0001857987804558,-1.557626565772474e-05,-0.00017022251479807525,11.4175922849014,12.375984741619625,-0.9583924567182258
3,0,3,2023-05-02 18:02:00+00:00,2023-05-02 18:05:00+00:00,anger,0.0002365777735689,-1.557626565772474e-05,0.00025215403922662475,11.9879415110395,12.375984741619625,-0.38804323058012535
4,0,4,2023-05-02 18:02:00+00:00,2023-05-02 18:06:00+00:00,anger,-0.0020654402042491,-1.557626565772474e-05,-0.002049863938591375,12.526843689603869,12.375984741619625,0.15085894798424349
5,0,5,2023-05-02 18:02:00+00:00,2023-05-02 18:07:00+00:00,anger,-0.0004623947474899,-1.557626565772474e-05,-0.00044681848183217526,12.133523457840443,12.375984741619625,-0.24246128377918197
6,0,6,2023-05-02 18:02:00+00:00,2023-05-02 18:08:00+00:00,anger,0.0003736563621539,-1.557626565772474e-05,0.0003892326278116247,11.793114534863069,12.375984741619625,-0.5828702067565565
7,0,7,2023-05-02 18:02:00+00:00,2023-05-02 18:09:00+00:00,anger,-0.0004388432856801,-1.557626565772474e-05,-0.00042326702002237526,12.521215447019957,12.375984741619625,0.14523070540033167
8,0,8,2023-05-02 18:02:00+00:00,2023-05-02 18:10:00+00:00,anger,-6.208482712292926e-07,-1.557626565772474e-05,1.4955417386495446e-05,11.906048049880006,12.375984741619625,-0.46993669173961905
9,0,9,2023-05-02 18:02:00+00:00,2023-05-02 18:11:00+00:00,anger,-0.0006272536310004,-1.557626565772474e-05,-0.0006116773653426752,12.257749116496202,12.375984741619625,-0.11823562512342356
10,0,10,2023-05-02 18:02:00+00:00,2023-05-02 18:12:00+00:00,anger,-0.0004088581853446,-1.557626565772474e-05,-0.00039328191968687526,12.268300687064237,12.375984741619625,-0.10768405455538854
11,0,11,2023-05-02 18:02:00+00:00,2023-05-02 18:13:00+00:00,anger,-0.0005165933179685,-1.557626565772474e-05,-0.0005010170523107753,11.795612583383498,12.375984741619625,-0.580372158236127
12,0,12,2023-05-02 18:02:00+00:00,2023-05-02 18:14:00+00:00,anger,-0.0010669786698866,-1.557626565772474e-05,-0.0010514024042288753,12.378747825272322,12.375984741619625,0.0027630836526970626
13,0,13,2023-05-02 18:02:00+00:00,2023-05-02 18:15:00+00:00,anger,-0.0002396823753103,-1.557626565772474e-05,-0.00022410610965257525,12.36864632352922,12.375984741619625,-0.007338418090405696
14,0,14,2023-05-02 18:02:00+00:00,2023-05-02 18:16:00+00:00,anger,-0.0005598977009538,-1.557626565772474e-05,-0.0005443214352960752,12.456769105129982,12.375984741619625,0.08078436351035734
15,0,15,2023-05-02 18:02:00+00:00,2023-05-02 18:17:00+00:00,anger,-0.0009355228531347,-1.557626565772474e-05,-0.0009199465874769752,12.81804501950103,12.375984741619625,0.4420602778814047
16,0,16,2023-05-02 18:02:00+00:00,2023-05-02 18:18:00+00:00,anger,0.0019933975329442,-1.557626565772474e-05,0.002008973798601925,12.456200814928591,12.375984741619625,0.08021607330896607
17,0,17,2023-05-02 18:02:00+00:00,2023-05-02 18:19:00+00:00,anger,-0.0003728369354664,-1.557626565772474e-05,-0.0003572606698086753,12.143878041937056,12.375984741619625,-0.23210669968256958
18,0,18,2023-05-02 18:02:00+00:00,2023-05-02 18:20:00+00:00,anger,-0.0006856607194794,-1.557626565772474e-05,-0.0006700844538216753,12.132738220265743,12.375984741619625,-0.24324652135388192
19,0,19,2023-05-02 18:02:00+00:00,2023-05-02 18:21:00+00:00,anger,-0.0006855077699662,-1.557626565772474e-05,-0.0006699315043084752,12.38408911538798,12.375984741619625,0.008104373768354378
